Name,LineNum,Line
"layardii, Nucula A. Adams, 1856",17210,"layardii, Nucula A. Adams, 1856b:51; Hanley, 1860d:160, figure 153; G. Sowerby, 1870 [in 1865-1870], 18(Nucula): plate 4: species 36"
"layardi, Ophicardelus (Laimodonta) H. Adams and A. Adams, 1854",17211,"layardi, Ophicardelus (Laimodonta) H. Adams and A. Adams, 1854b:35; as Melampus, Gassies, 1863, 24:265, plate 7: figure 7"
"layardi, Paludomus Reeve, 1852",17212,"layardi, Paludomus Reeve, 1852b: 128"
"layardi, Pecten Reeve, 1853",17213,"layardi, Pecten Reeve, 1853 [in 1851-1870], 8(Pecten): plate 21: species 80, figures a,b"
"layardi, Philippia A. Adams, 1854",17214,"layardi, Philippia A. Adams, 1854g:317"
"layardi, Psammobia Deshayes, 1854",17215,"layardi, Psammobia Deshayes, 1854c:323; Reeve, 1857 [in 1851— 1870], 10(Psammobia): plate 6: species 45"
"layardi, Pupa Benson, 1856",17216,"layardi, Pupa Benson, 1856i, 18:435"
"layardi, Spiraxis Benson, 1863",17217,"layardi, Spiraxis Benson, 1863a, 11:90"
"layardi, Spondylus Reeve, 1856",17218,"layardi, Spondylus Reeve, 1856 [in 1851-1870], 9(Spondylus): plate 18: species 66"
"layardi, Subulina (Coeliaxis) H. Adams and Angas, 1865",17219,"layardi, Subulina (Coeliaxis) H. Adams and Angas, 1865:54, plate 2: figure 1"
"layardi, Tellina Deshayes, 1854",17220,"layardi, Tellina Deshayes, 1854c:357; G. Sowerby, 1869 [in 1865- 1870], 16(Tellina): plate 56: species 330"
"layardii, Turricula A. Adams, 1854",17221,"layardii, Turricula A. Adams, 1854f: 135"
"layardii, Unio Lea, 1859",17222,"layardii, Unio Lea, 1859b: 153; 18601, 4:243, plate 36: figure 122; G. Sowerby, 1865 [in 1865-1870], 16(Unio): plate 23: species 111"
"layardi, Venus Reeve, 1864",17223,"layardi, Venus Reeve, 1864 [in 1851-1870], 14(Venus): plate 26: species 136"
"layardiana, Metcalfeia Chitty, 1857",17224,"layardiana, Metcalfeia Chitty, 1857b: 183"
"layardiana, Streptaxis Benson, 1853",17225,"layardiana, Streptaxis Benson, 1853e, 12:90"
"laytoni, Cardium Morris, in Prestwich, 1854",17226,"laytoni, Cardium Morris, in Prestwich, 1854, 10:117; Morris, 1854a, 10:157, plate 2: figures 1,2"
"lazarus, Unio Lea, 1852",17227,"lazarus, Unio Lea, 1852a, 10:259, plate 14: figure 9; G. Sowerby, 1868 [in 1865-1870], 16(Unio): plate 68: species 348"
"leachii, Idalia Alder and Hancock, 1854",17228,"leachii, Idalia Alder and Hancock, 1854, 14:103"
"leachii, Trochus Philippi, 1852",17229,"leachii, Trochus Philippi, 1852 Jin 1846-1855], 2(3):247, plate 37: figure 6"
"leacociana, Achatina R. Lowe, 1852",17230,"leacociana, Achatina R. Lowe, 1852, 9:119"
"leai, Columna Tryon, 1866",17231,"leai, Columna Tryon, 1866j, 2:297, plate 20: figure 1"
"leai, Cyclostoma Tryon, 1869",17232,"leai, Cyclostoma Tryon, 1869c, 5:111, plate 10: figure 6"
"leaii, Eurycaelon Tryon, 1866",17233,"leaii, Eurycaelon Tryon, 1866b, 2:5, plate 2: figure 3"
"leaii, Melania Brot, 1862",17234,"leaii, Melania Brot, 1862:34"
"leai, Monoptygma Whitfield, 1865",17235,"leai, Monoptygma Whitfield, 1865, 1:261, plate 27: figure 7"
"leai, Paludina Meek and Hayden, 1856",17236,"leai, Paludina Meek and Hayden, 1856d, 8:121"
"leaii, Pleurocera Tryon, 1863",17237,"leaii, Pleurocera Tryon, 1863 [in 1863-1865]:314"
"leana, Cardita Dunker, 1859",17238,"leana, Cardita Dunker, 1859 [in 1859-1860], 6:223; 1861b:29, plate 3: figure 17"
"leana, Corbicula Prime, 1864",17239,"leana, Corbicula Prime, 1864 [in 1864-1870], 8:68, figure 14"
"leana, Discohelix Gabb, 1864",17240,"leana, Discohelix Gabb, 1864b, 1:119, plate 20: figure 75"
"leana, Lucina Orbigny, 1852",17241,"leana, Lucina Orbigny, 1852 [in 1850-1852], 3:117"
"leana, Pompholyx H. Adams and A. Adams, 1863",17242,"leana, Pompholyx H. Adams and A. Adams, 1863a:434"
"leanus, Helcion Gabb, 1860",17243,"leanus, Helcion Gabb, 1860h, 4:387, plate 67: figure 48"
"leanus, Hippagus Deshayes, 1858",17244,"leanus, Hippagus Deshayes, 1858 [in 1856-1865], atlas 1: plate 41 [51]: figures 1-3; 1860 [in 1856-1865], 1:810"
"leanus, Solen Dunker, 1861",17245,"leanus, Solen Dunker, 1861a:419"
"leanus, Trochus C.B. Adams, 1852",17246,"leanus, Trochus C.B. Adams, 1852d, 5:415, 541; as Zizyphinus, Reeve, 1863 [in 1851-1870], 14(Zizyphinus): plate 6: species 45"
"leavenwothana, Pleurotomaria Hall, 1858",17247,"leavenwothana, Pleurotomaria Hall, 1858, 4:24"
"lebrunea, Panopaea Buvignier, 1852",17248,"lebrunea, Panopaea Buvignier, 1852, atlas page 7, plate 7: figures 6, 7"
"lebrunii, Bulla Deshayes, 1862",17249,"lebrunii, Bulla Deshayes, 1862 [in 1856-1865], 2:634, plate 39: figures 7-9"
"lebruni, Conus Deshayes, 1865",17250,"lebruni, Conus Deshayes, 1865 [in 1856-1865], 3:417, plate 100: figures 3, 4"
"lecadrei, Nassa Folin, 1867",17251,"lecadrei, Nassa Folin, 1867a:73, plate 6: figure 14"
"leckembyi, Pleurotomaria Hebert and Eudes-Deslongchamps, 1860",17252,"leckembyi, Pleurotomaria Hebert and Eudes-Deslongchamps, 1860, 5:223, plate 3: figures 6 a-c"
"leckenbii, Mytilus Morris and Lycett, 1853",17253,"leckenbii, Mytilus Morris and Lycett, 1853 [in 1853-1854], 2:131, plate 14: figure 8"
"leckenbii, Trochus Morris and Lycett, 1854",17254,"leckenbii, Trochus Morris and Lycett, 1854 [in 1853-1854], 1:115, plate 15: figure 21 a"
"leckenbyi, Astarte T. Wright, 1860",17255,"leckenbyi, Astarte T. Wright, 1860a, 16:27; Lycett, 1863:74, plate 42: figure 3"
"leckenbyi, Cerithium T. Wright, 1860",17256,"leckenbyi, Cerithium T. Wright, 1860a, 16:32"
"leckenbyi, Chemnitzia Morris and Lycett, 1854",17257,"leckenbyi, Chemnitzia Morris and Lycett, 1854 [in 1853-1854], 1:50, plate 7: figure 4"
"leckenbyi, Opis Wright, in Lycett, 1863",17258,"leckenbyi, Opis Wright, in Lycett, 1863:61, plate 37: figure 9; Laube, 344 SMITHSONIAN CONTRIBUTIONS TO ZOOLOGY 1867, 27(2):42, plate 4: figure 3"
"leckenbyiformis, Modiola Schauroth, 1865",17259,"leckenbyiformis, Modiola Schauroth, 1865:128, plate 3: figure 6"
"leckhamptonensis, Emarginula Lycett, 1850",17260,"leckhamptonensis, Emarginula Lycett, 1850b, 6:415"
"leckhamptonensis, Natica Lycett, 1850",17261,"leckhamptonensis, Natica Lycett, 1850b, 6:416"
"lecontei, Gnathodon Conrad, 1853",17262,"lecontei, Gnathodon Conrad, 1853e, 2:273, plate 24: figures I, 2"
"lecontei, Nehtina Recluz, 1853",17263,"lecontei, Nehtina Recluz, 1853f, 4:257, plate 8: figure 3"
"lecontii, Helix Lea, 1852",17264,"lecontii, Helix Lea, 1852c, 10:303, plate 30: figure 13"
"lecontii, Lymnaea Lea, 1864",17265,"lecontii, Lymnaea Lea, 1864h:l 13; 1867 [in 1866-1869], 6:162, plate 24: figure 79"
"lecoquii, Helix lapicida Puton, in A. Moquin-Tandon, 1855",17266,"lecoquii, Helix lapicida Puton, in A. Moquin-Tandon, 1855b, 2:138"
"lecoquiana, Oliva Ducros de St. Germain, 1857",17267,"lecoquiana, Oliva Ducros de St. Germain, 1857:45, plate 2: figures 20a-c"
"lecythis, Helix Benson, 1852",17268,"lecythis, Helix Benson, 1852a, 9:406; Reeve, 1853 [in 1851-1870], 7(Helix): plate 172: species 1164"
"leda, Anatina Hall, 1860",17269,"leda, Anatina Hall, 1860:110"
"leda, Bellerophon Hall, 1862",17270,"leda, Bellerophon Hall, 1862b, D:58"
"leda, Loxonema Hall, 1868",17271,"leda, Loxonema Hall, 1868:398, plate 15: figure 2"
"leda, Murchisonia Hall, 1861",17272,"leda, Murchisonia Hall, 1861a: 103"
"leda, Tellina Deshayes, 1854",17273,"leda, Tellina Deshayes, 1854c:364"
"ledaeformis, Cercomya Guppy, 1866",17274,"ledaeformis, Cercomya Guppy, 1866b, 22:581"
"ledereri, Helix Pfeiffer, 1856",17275,"ledereri, Helix Pfeiffer, 1856b, 3:43; Bourguignat, 1863 [in 1863- 1870], 3:69, plate 11: figures 1-11"
